funded_amnt,int_rate,installment,emp_length,annual_inc,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,loan_status_binary,verification_status_encoded
10000,17.97,253.78,2,55000,35.7,0,685,689,0,14,0,38623,28,0,1,0,0,0,-1
16000,13.99,372.21,9,142000,17.74,2,680,684,2,15,2,2273,19,0,1,0,0,1,0
20000,9.8,643.47,5,75000,23.45,0,725,729,0,14,0,7558,26,0,0,0,1,1,-1
8650,5.32,260.5,0.5,100000,7.28,0,750,754,0,15,0,7158,24,0,1,0,0,1,-1
21000,13.44,482.56,2,54649,12.14,0,670,674,0,9,1,1581,44,0,0,0,1,1,1
7200,15.77,252.32,0.5,55000,17.35,0,680,684,0,24,1,5938,43,0,0,0,1,1,-1
8800,9.8,283.13,10.5,92000,5.18,0,665,669,1,9,0,9195,24,0,1,0,0,1,1
14650,20.5,392.23,2,43160,21.44,0,690,694,0,12,0,11378,24,0,0,0,1,1,0
2500,17.27,89.47,10.5,50000,17.6,3,670,674,4,7,0,732,22,0,1,0,0,1,0
11000,9.17,350.67,10.5,69000,21.34,0,680,684,1,9,0,8137,18,0,1,0,0,1,-1
23850,17.27,596.21,10.5,68046,24.71,1,665,669,0,12,0,28220,33,0,0,1,0,1,-1
15700,16.59,386.74,6,48000,29.13,0,685,689,0,19,0,15458,28,0,1,0,0,1,-1
28800,11.99,640.5,10.5,60000,18.01,0,800,804,0,21,0,18421,37,0,0,1,0,1,-1
10000,12.88,336.37,4,91392,9.44,0,710,714,0,13,0,6959,33,0,1,0,0,1,-1
28000,18.49,718.51,10.5,75000,31.88,0,685,689,0,27,0,43413,46,0,1,0,0,1,0
35000,11.99,778.38,10.5,128000,6.46,0,685,689,0,17,0,14277,46,0,1,0,0,1,1
7200,9.17,229.53,10.5,50000,19.25,0,675,679,0,13,0,9051,25,0,1,0,0,1,-1
10000,7.91,312.95,2,40100,10.81,0,680,684,1,4,0,6664,7,0,0,0,1,1,-1
16000,13.44,367.67,1,42000,9.6,0,670,674,0,29,0,11834,48,0,0,0,1,0,-1
21875,11.99,726.46,0.5,47590,17.76,0,700,704,0,9,0,24882,14,0,0,0,1,1,1
14025,18.49,359.9,10.5,39000,18,0,675,679,1,12,0,15646,21,0,1,0,0,1,0
35000,12.88,794.21,7,106000,17.36,0,730,734,0,8,0,39055,27,0,1,0,0,0,1
20000,12.88,672.73,10.5,145000,12.28,0,695,699,0,12,0,22551,21,0,1,0,0,1,-1
14000,14.85,331.96,2,60000,24.29,0,690,694,0,11,0,12718,24,0,1,0,0,0,-1
16000,8.49,328.19,5,62000,28.92,0,720,724,0,10,0,15763,24,0,1,0,0,-1,1
28000,14.85,663.92,2,85000,28.52,0,670,674,0,19,0,36814,29,0,1,0,0,1,-1
20000,13.99,465.27,10.5,70000,16.9,0,680,684,0,20,0,31200,35,0,0,1,0,0,1
17600,19.89,465.22,0.5,44000,17.56,0,680,684,0,7,0,12900,25,0,0,0,1,1,0
4200,13.44,142.41,10.5,102500,26.21,0,700,704,0,14,0,11947,37,0,1,0,0,1,-1
19000,14.85,450.52,9,75000,13.09,0,665,669,2,15,0,17771,34,0,0,1,0,1,-1
15850,23.13,448.01,10.5,45000,34.85,0,755,759,1,18,0,8799,24,0,0,1,0,1,-1
10000,11.99,222.4,10.5,42500,31.04,0,705,709,1,10,0,5812,23,0,0,0,1,1,-1
30000,15.77,1051.31,2,175000,18.5,0,725,729,1,9,0,21831,23,0,1,0,0,1,-1
25000,5.32,752.87,1,150000,9.54,0,795,799,0,7,0,19339,18,0,1,0,0,1,-1
16250,13.44,373.41,2,50000,34.95,0,690,694,0,15,0,27336,21,0,1,0,0,1,-1
20200,18.49,518.35,4,60000,34.84,0,720,724,0,10,1,8284,16,0,0,0,1,0,1
23975,19.89,633.73,10.5,70000,33.2,0,685,689,1,10,0,44807,19,0,0,0,1,0,-1
15000,10.78,324.5,10.5,65000,29.28,0,720,724,0,18,0,24723,32,0,1,0,0,1,-1
10000,10.78,326.35,3,41600,15.78,0,695,699,0,18,0,12958,33,0,1,0,0,1,-1
15000,8.49,473.45,6,110000,13.24,0,670,674,0,16,1,19029,33,0,1,0,0,1,-1
23100,20.5,618.46,2,110000,20.43,0,660,664,0,11,0,20594,24,0,0,1,0,0,-1
27300,17.27,977,10.5,65000,25.63,0,660,664,0,14,0,31035,38,0,1,0,0,0,-1
25000,11.48,549.57,10.5,135000,4.65,0,705,709,0,16,0,7340,33,0,1,0,0,1,-1
15000,10.78,489.52,1,40000,10.17,0,670,674,0,7,0,12272,9,0,0,0,1,1,0
10000,16.59,246.33,0.5,30000,30.84,0,715,719,2,19,1,6118,36,0,0,0,1,1,1
18500,12.88,419.8,10.5,70000,13.2,0,675,679,1,9,0,15883,19,0,1,0,0,1,1
5000,7.91,156.48,6,32000,13.73,0,685,689,0,7,1,5552,10,0,0,0,1,1,1
9000,9.17,286.92,1,50000,11.98,0,800,804,2,5,0,7518,11,0,0,1,0,1,-1
11000,6.49,337.09,10.5,85000,15,0,755,759,0,12,0,9488,31,0,1,0,0,1,-1
20000,6.49,612.89,6,55000,29.15,0,750,754,0,9,0,4851,23,0,1,0,0,1,-1
12000,5.32,361.38,4,53750,15.3,1,700,704,0,8,0,3172,19,0,1,0,0,1,1
8000,10.78,261.08,0.5,45000,21.23,0,670,674,0,28,0,11141,69,0,1,0,0,1,-1
12000,10.78,391.62,3,40000,31.95,3,665,669,0,16,0,11008,22,0,0,0,1,1,-1
18000,7.49,559.83,5,75000,25.65,0,715,719,1,12,0,7758,47,0,1,0,0,1,-1
3600,11.48,118.68,0.5,85000,17.44,0,675,679,2,12,1,6952,23,0,1,0,0,1,1
7200,17.27,257.67,9,20000,13.21,1,705,709,1,8,0,7302,17,0,0,1,0,0,0
15000,13.44,344.69,4,77213,18.17,0,670,674,2,17,1,59237,44,0,0,0,1,1,1
5000,9.8,160.87,6,72000,6.52,0,710,714,0,11,1,4838,20,0,0,1,0,1,-1
11550,16.59,284.51,5,38000,21.07,0,700,704,0,9,0,7179,12,0,0,0,1,0,-1
33600,10.78,1096.53,8,104000,14.01,0,690,694,2,14,0,28475,31,0,0,0,1,1,1
17925,17.27,448.09,10.5,39000,27.78,0,720,724,1,10,0,19614,21,0,0,1,0,1,1
17475,13.99,597.17,2,39750,23.58,0,695,699,0,7,0,10987,13,0,0,0,1,0,-1
9000,8.49,284.07,8,47000,8.43,0,675,679,0,12,0,9747,22,0,1,0,0,1,-1
12000,9.8,253.79,10.5,65000,23.84,0,785,789,0,18,0,9786,37,0,1,0,0,1,-1
4000,9.17,127.52,2,44500,15.83,0,670,674,0,4,1,502,24,0,0,0,1,1,0
10500,15.77,367.96,3,70100,8.51,0,660,664,0,5,0,8280,10,0,0,0,1,1,1
14000,9.8,450.43,4,100000,15.97,0,685,689,0,7,0,34250,14,0,1,0,0,1,-1
6000,7.91,187.77,10.5,105000,14.45,0,685,689,1,9,3,8353,11,0,1,0,0,1,-1
16000,12.88,363.07,10.5,90000,6.39,0,700,704,0,8,0,11594,17,0,0,1,0,1,-1
15000,9.8,482.61,3,92000,13.89,0,680,684,1,7,2,12703,31,0,1,0,0,1,-1
12000,9.17,382.55,4,39400,26.32,0,705,709,1,18,0,10495,25,0,1,0,0,1,-1
10000,11.48,329.67,2,33000,21.75,0,710,714,0,12,1,8052,20,0,0,0,1,1,-1
4200,13.99,143.53,2,32000,31.02,0,705,709,2,10,0,1294,16,0,0,0,1,1,1
35000,20.5,937.06,8,120000,35.69,1,700,704,0,25,0,13993,54,0,1,0,0,1,1
5475,18.99,200.67,10.5,108000,33.47,4,670,674,2,11,0,3045,27,0,1,0,0,0,0
16000,7.91,323.74,2,60000,28.58,0,730,734,0,19,0,10034,22,0,1,0,0,1,-1
6000,13.44,203.44,3,38700,23.26,0,690,694,1,4,0,1960,10,0,0,1,0,1,1
24000,9.17,765.1,10.5,75000,10.11,0,660,664,3,14,1,11763,25,0,1,0,0,1,1
10000,12.88,336.37,0.5,60000,3.3,0,715,719,0,5,0,6727,42,0,0,0,1,1,0
6900,19.89,256.05,10.5,80000,9.57,0,665,669,3,10,0,4091,16,0,0,0,1,1,1
22400,9.8,473.74,10.5,48000,28.48,0,705,709,0,9,0,24298,18,0,1,0,0,1,-1
15975,16.59,566.3,4,58800,20.45,0,665,669,1,11,0,9196,23,0,1,0,0,1,-1
21600,13.44,732.38,9,54000,17.64,0,690,694,1,9,0,26438,30,0,1,0,0,1,0
24000,13.99,558.32,8,82193,29.92,0,695,699,0,15,0,14714,34,0,0,0,1,1,-1
14400,19.48,377.36,3,73320,17.02,0,660,664,0,9,0,12105,19,0,0,0,1,0,1
8000,13.99,273.39,0.5,42000,23.26,0,705,709,1,8,0,4414,10,0,0,0,1,1,-1
7000,13.99,239.21,2,83000,21.96,0,680,684,0,11,0,17866,28,0,0,0,1,1,1
20000,10.78,652.7,0.5,55000,36.94,0,740,744,1,18,1,24365,32,0,0,1,0,1,-1
25825,26.06,774.14,6,68000,31.68,0,675,679,1,18,0,20769,33,0,0,0,1,0,0
24575,22.45,685.04,10.5,92000,24.16,0,725,729,0,8,0,25225,27,0,1,0,0,1,0
3200,8.49,101.01,10.5,30407,20.61,0,710,714,0,5,0,1061,13,0,0,0,1,1,-1
22875,15.77,553.49,10.5,137000,32.3,0,700,704,0,22,0,44174,62,0,1,0,0,1,-1
16000,14.85,379.39,10.5,80000,19.59,0,700,704,0,14,0,11113,26,0,1,0,0,1,-1
35000,13.44,1186.72,0.5,125000,24.19,0,710,714,0,15,0,47300,26,0,1,0,0,1,1
2400,17.27,85.89,2,52000,28.38,1,670,674,1,16,1,7763,18,0,1,0,0,1,0
8800,12.88,296,2,55000,35.52,0,715,719,2,20,0,11331,29,0,0,0,1,1,-1
8000,5.32,240.92,1,50000,14.86,1,715,719,0,21,0,6452,64,0,0,0,1,1,-1
20000,11.99,664.2,10.5,78000,27.1,0,705,709,0,15,0,40405,37,0,1,0,0,0,-1
35000,12.88,794.21,10.5,110000,13.39,0,695,699,0,19,0,23315,32,0,1,0,0,0,1
16000,15.77,560.7,1,70000,8.78,0,705,709,1,7,0,15986,25,0,1,0,0,0,-1
10800,13.99,251.25,3,40000,26.13,0,665,669,0,7,2,8192,14,0,0,0,1,1,1
7500,17.97,271.04,10.5,15000,37.2,0,685,689,0,8,1,7933,14,0,0,1,0,1,1
16000,10.78,522.16,5,63000,35.19,0,670,674,1,12,0,20672,22,0,0,0,1,0,-1
9000,5.32,271.04,10.5,49000,21.63,0,755,759,0,18,0,8775,29,0,1,0,0,1,-1
9500,15.77,332.92,10.5,28000,27.95,0,695,699,0,7,0,1844,14,0,0,0,1,1,-1
10000,7.91,312.95,2,25000,29.91,0,740,744,0,16,0,9053,30,0,0,1,0,0,-1
6000,7.91,187.77,10.5,49000,17.92,0,795,799,0,10,0,2212,16,0,1,0,0,1,-1
15600,13.44,358.48,10.5,52000,15.37,0,720,724,1,6,0,12329,13,0,1,0,0,1,-1
35000,8.49,1104.71,0.5,90000,13.36,0,750,754,0,11,0,15448,26,0,0,1,0,1,1
5000,11.48,164.84,9,78000,21.21,0,700,704,1,19,0,34764,21,0,1,0,0,1,-1
20400,18.49,523.48,2,75000,38.65,2,725,729,0,22,0,24345,49,0,1,0,0,1,1
16000,10.78,522.16,3,87500,13.74,0,695,699,0,13,0,21151,17,0,0,0,1,1,-1
18000,7.91,563.31,10.5,80000,15.56,0,740,744,0,5,0,20724,6,0,1,0,0,0,-1
35000,9.17,1115.77,1,105000,25.07,0,690,694,0,11,0,92939,26,0,0,0,1,1,1
13150,5.32,396.01,1,40000,20.25,0,765,769,0,13,0,11221,17,0,0,0,1,1,-1
5600,9.17,178.53,8,48000,19.85,0,660,664,0,8,0,12503,68,0,0,0,1,1,1
23000,9.8,739.99,9,90247,17.09,0,680,684,0,11,0,21039,25,0,1,0,0,1,-1
12600,14.85,298.77,1,175000,11.75,0,690,694,0,14,1,16659,25,0,1,0,0,1,-1
11000,16.59,389.94,8,55000,16.85,0,735,739,0,6,0,5739,14,0,1,0,0,1,1
4000,11.99,132.84,3,41501,12.9,0,685,689,0,8,0,8485,12,0,0,0,1,1,1
20000,13.44,459.58,9,75000,20.67,0,715,719,1,16,0,18818,54,0,1,0,0,1,-1
20000,11.48,659.33,5,60000,22.62,0,685,689,2,10,0,29929,20,0,0,0,1,1,-1
10000,9.17,318.79,10.5,59307,32.7,1,690,694,1,17,0,24399,30,0,1,0,0,1,-1
18850,21.48,714.83,0.5,55000,15.56,0,700,704,2,11,0,6069,26,0,1,0,0,0,-1
21000,11.99,467.03,10.5,82000,15.07,0,730,734,0,18,0,27092,34,0,1,0,0,1,-1
10500,8.49,331.42,4,60000,15.39,1,685,689,0,13,1,10760,19,0,1,0,0,1,-1
4575,17.27,163.73,5,56000,10.03,1,665,669,1,12,0,2380,17,0,0,0,1,0,-1
5000,11.48,164.84,1,17000,27.9,0,690,694,1,8,0,6378,11,0,0,0,1,1,1
5000,11.99,166.05,1,30000,9.16,0,675,679,0,12,2,5426,15,0,0,0,1,0,1
9075,5.32,273.3,10.5,40000,8.39,0,815,819,0,15,0,12854,26,0,1,0,0,1,-1
24000,12.88,544.61,2,75181.21,31.57,0,720,724,1,13,0,17497,37,0,1,0,0,1,-1
12500,7.49,388.78,10.5,52000,6.83,0,705,709,0,5,0,10009,7,0,0,0,1,1,-1
19600,15.77,474.25,8,80000,18.99,0,710,714,1,15,0,11038,26,0,1,0,0,0,1
35000,13.99,1196.05,2,90000,10.97,0,740,744,0,5,0,2193,7,0,1,0,0,1,1
28000,8.49,574.33,1,75000,24.83,0,685,689,0,16,0,18002,23,0,1,0,0,1,-1
14000,15.77,338.75,1,45500,19.24,0,690,694,0,10,0,6297,12,0,0,0,1,0,-1
14000,5.32,421.61,4,120000,6.73,0,775,779,0,13,0,15686,20,0,0,0,1,1,-1
24000,8.49,757.51,8,72000,22.8,0,715,719,0,16,0,20014,52,0,1,0,0,1,-1
35000,13.99,1196.05,6,75000,18.19,0,685,689,0,17,0,22755,32,0,0,1,0,1,1
14550,15.77,352.06,10.5,70000,34.44,0,720,724,0,13,0,138287,27,0,1,0,0,1,0
8000,11.48,263.74,0.5,21610,31.06,0,705,709,0,9,0,8898,10,0,0,0,1,1,0
32400,9.8,685.23,10.5,106284,24.11,0,730,734,2,33,0,90930,38,0,1,0,0,1,1
3600,13.44,122.07,1,25000,26.45,0,710,714,0,23,0,4419,39,0,0,0,1,1,1
10500,13.99,358.82,10.5,110000,30.73,1,660,664,1,19,0,28822,38,0,1,0,0,1,-1
3000,11.48,98.9,10.5,105000,12.09,0,685,689,1,11,0,5560,22,0,1,0,0,1,0
16000,14.85,553.48,2,43000,17.11,0,675,679,0,13,0,10130,16,0,0,0,1,1,1
8000,7.49,248.82,10.5,57000,25.01,0,740,744,0,19,0,15916,31,0,1,0,0,1,-1
19500,7.49,606.49,0.5,85000,13.74,0,730,734,0,8,0,18662,20,0,0,0,1,1,-1
2000,8.49,63.13,8,140000,6.78,0,845,850,1,7,0,4110,16,0,1,0,0,1,1
16000,5.32,481.84,8,96000,14.45,0,725,729,1,23,0,21922,38,0,1,0,0,1,-1
3500,10.78,114.23,8,122400,17.97,0,660,664,2,16,3,27242,30,0,1,0,0,1,1
14000,9.17,291.78,4,94000,32.3,0,715,719,0,11,0,91534,45,0,0,0,1,1,1
24000,11.48,791.2,3,95000,26.89,0,675,679,1,9,0,18255,12,0,0,1,0,1,0
6000,5.32,180.69,2,120000,3.98,0,780,784,0,14,0,7763,21,0,0,1,0,1,-1
24000,7.91,751.08,9,100000,26.83,1,675,679,0,21,0,35994,39,0,1,0,0,1,-1
14875,18.49,381.71,3,37231,36.3,1,665,669,3,24,1,4665,49,0,0,0,1,0,0
10000,11.99,332.1,7,45000,37.55,0,685,689,0,19,1,8339,40,0,0,0,1,1,-1
15000,6.99,463.09,2,93000,14.86,0,755,759,1,8,0,14914,17,0,1,0,0,1,-1
10000,5.32,301.15,10.5,68000,14.61,0,730,734,0,11,0,15206,32,0,0,0,1,1,-1
18000,9.17,375.14,10.5,97000,22.22,1,710,714,2,13,0,21040,24,0,0,1,0,1,-1
24000,19.48,628.93,10.5,97000,7.23,0,685,689,0,14,0,16424,38,0,0,0,1,1,0
23525,17.97,597,5,70000,13.33,0,675,679,0,13,1,28738,22,0,1,0,0,1,-1
12000,9.17,250.1,10.5,68000,14.53,0,690,694,0,20,0,34714,56,0,0,1,0,1,-1
11000,10.78,358.99,10.5,297000,12.69,1,670,674,1,12,0,34746,33,0,0,0,1,1,0
24000,9.17,765.1,2,210000,20.16,0,690,694,1,18,0,16417,35,0,1,0,0,1,1
15000,16.59,369.49,8,42900,36.98,0,680,684,0,10,0,19015,32,0,0,0,1,1,0
16000,8.49,505.01,10.5,140000,14.68,2,670,674,0,19,0,28430,25,0,1,0,0,1,-1
15000,7.91,303.51,5,90000,17.07,0,685,689,1,20,0,20125,25,0,0,0,1,0,0
5000,11.99,166.05,8,60000,19.56,0,675,679,0,13,0,15996,19,0,1,0,0,0,-1
19100,10.78,413.19,10.5,115000,14.35,0,685,689,0,8,0,18726,22,0,1,0,0,1,-1
15000,10.78,489.52,3,85000,10.14,0,685,689,0,16,0,8768,21,0,0,1,0,1,1
30000,18.49,769.83,2,85000,35.93,0,665,669,0,21,1,12381,49,0,1,0,0,1,1
15000,9.8,482.61,10.5,60000,25.56,0,720,724,2,19,0,15448,53,0,0,0,1,1,-1
3500,13.99,119.61,10.5,105000,17.65,0,665,669,0,9,0,22712,19,0,0,0,1,1,0
20000,9.17,637.58,2,130000,12.77,0,715,719,0,8,0,12187,13,0,0,0,1,1,1
10000,13.44,229.79,7,30160,29.45,0,685,689,0,5,0,10477,5,0,0,0,1,1,-1
35000,18.49,898.13,9,132500,14.48,0,670,674,1,16,0,27946,25,0,1,0,0,1,1
16000,14.85,379.39,10.5,90000,16.65,0,660,664,1,13,1,10159,20,0,0,0,1,-1,-1
2000,11.99,66.42,10.5,180000,12.66,0,665,669,0,10,0,4016,32,0,1,0,0,1,-1
12000,9.8,386.09,2,39500,25.43,0,725,729,0,9,0,9332,10,0,0,0,1,1,0
8000,6.99,246.99,1,80000,18.92,0,740,744,1,17,0,5387,25,0,1,0,0,1,-1
10000,9.8,321.74,10.5,92000,10.55,1,680,684,0,8,0,9560,27,0,1,0,0,0,1
25000,7.91,505.84,10.5,76500,15.65,0,750,754,0,8,0,33834,21,0,0,0,1,1,-1
35000,13.99,1196.05,10.5,100000,19.43,6,665,669,0,12,0,31610,22,0,0,0,1,1,1
25600,7.91,517.98,3,150000,10.88,0,740,744,0,10,0,15837,39,0,0,1,0,1,-1
4325,11.99,143.64,10.5,90000,16.96,1,730,734,1,17,1,15676,23,0,0,1,0,1,-1
6000,6.99,185.24,10.5,48000,33.78,0,760,764,0,18,0,7204,30,0,0,1,0,1,-1
18200,15.77,440.37,8,65000,29.28,0,660,664,1,27,1,7411,38,0,0,0,1,0,-1
10000,6.99,308.73,3,54000,19.38,0,700,704,0,11,0,13447,18,0,0,0,1,1,-1
30000,13.44,689.37,5,81000,12.03,3,725,729,0,12,0,18471,18,0,1,0,0,1,1
13200,5.32,397.52,2,150000,15.45,0,740,744,0,14,0,42605,30,0,1,0,0,1,-1
10000,6.99,308.73,5,220000,4.76,0,710,714,1,8,1,6666,14,0,0,0,1,1,-1
3000,11.48,98.9,5,75000,22.82,1,665,669,0,13,0,11907,25,0,1,0,0,1,1
20000,9.8,643.47,10.5,96000,19.04,0,765,769,0,9,0,8516,14,0,0,1,0,1,-1
13875,11.99,308.58,10.5,32500,23.53,0,710,714,0,7,0,10580,15,0,1,0,0,1,1
18000,6.49,551.61,10.5,76000,14.4,1,755,759,0,20,0,19182,41,0,1,0,0,1,0
15225,8.49,480.55,3,40000,21.21,0,685,689,3,12,1,5278,30,0,0,1,0,0,-1
16000,11.48,351.73,6,65000,21.16,0,705,709,0,13,1,12669,18,0,0,0,1,0,-1
21000,9.8,444.13,7,125000,6.2,0,750,754,2,16,0,4994,21,0,0,0,1,0,-1
13000,16.59,320.23,0.5,40000,16.74,0,660,664,1,6,0,18114,17,0,0,0,1,0,0
20000,7.91,625.9,5,120000,4.99,3,705,709,1,19,0,1801,31,0,0,1,0,1,-1
31075,7.49,966.49,10.5,70000,17.18,0,725,729,1,10,0,31640,28,0,0,0,1,1,1
18000,6.99,555.71,10.5,120000,14.88,1,710,714,0,7,0,41266,13,0,0,1,0,1,-1
4675,17.27,167.31,0.5,13000,34.07,1,675,679,1,6,0,3394,23,0,1,0,0,1,-1
6000,9.8,193.05,4,85140,14.42,0,710,714,0,11,0,11210,12,0,1,0,0,1,-1
12000,12.88,272.31,10.5,90000,12.62,0,660,664,0,11,1,8275,30,0,1,0,0,1,-1
13000,13.99,302.42,10.5,115000,9.9,0,700,704,0,9,0,16440,21,0,0,0,1,1,-1
1800,11.48,59.34,10.5,50000,20.38,0,660,664,0,9,0,10140,15,0,0,0,1,1,-1
4475,16.59,158.64,10.5,114000,8.36,4,670,674,2,5,1,5153,40,0,0,0,1,1,-1
14400,6.49,441.29,8,70000,16.32,0,695,699,1,21,0,14446,26,0,1,0,0,1,-1
5875,7.91,183.86,5,70000,9.53,0,670,674,0,9,1,5814,18,0,0,0,1,1,-1
20000,17.97,722.75,7,180000,25.1,0,660,664,0,13,0,59126,30,0,1,0,0,1,-1
10000,6.99,308.73,5,115000,23.26,0,715,719,0,17,0,25824,39,0,1,0,0,1,-1
34100,12.88,773.79,8,92892,29.14,0,735,739,0,13,0,21449,39,0,1,0,0,1,0
24000,11.48,791.2,3,56457,12.37,0,680,684,0,5,0,22849,6,0,0,0,1,1,0
30000,18.49,769.83,8,300000,8.62,0,680,684,0,10,2,11169,21,0,1,0,0,1,0
5200,10.78,169.71,7,160000,8,1,660,664,1,6,0,8211,23,0,1,0,0,1,-1
16800,11.99,557.93,0.5,50000,5.76,0,675,679,1,10,1,6920,30,0,0,0,1,1,1
10000,11.99,332.1,7,40000,10.95,0,665,669,3,4,0,1252,7,0,0,0,1,1,-1
22000,17.97,558.3,10.5,55000,22.34,1,665,669,1,10,0,39840,25,0,1,0,0,1,-1
28000,5.32,843.22,10.5,144000,29.88,0,715,719,0,16,0,82471,29,0,1,0,0,1,0
7200,6.49,220.65,10.5,60000,20.68,0,725,729,0,3,0,4727,22,0,1,0,0,1,-1
18000,11.99,597.78,9,41000,38.35,0,690,694,0,12,0,18982,20,0,0,0,1,1,-1
8400,7.49,261.26,1,30000,29.2,0,730,734,0,9,0,4008,13,0,0,1,0,1,-1
5000,14.85,172.96,2,67000,31.08,0,670,674,2,18,0,16036,38,0,0,0,1,1,1
5000,9.8,160.87,10.5,55000,10.93,0,665,669,1,6,0,6846,11,0,0,0,1,0,-1
2400,11.48,79.12,5,60000,24.14,0,670,674,0,10,0,13450,22,0,1,0,0,0,0
15000,5.32,451.73,9,60000,21.48,0,790,794,0,8,0,12370,16,0,0,1,0,1,-1
6075,9.17,193.67,9,64400,27.37,0,730,734,2,17,0,5633,40,0,1,0,0,1,0
20000,10.78,652.7,2,55000,22.58,0,670,674,1,11,0,23324,22,0,0,0,1,1,0
